,sentence,polarity,subjectivity,Sentiment_Type
165,"Proyek Infrastruktur Tanpa APBN Diperkirakan Capai Rp 9,38 T di 2019",0.34,0.42000000000000004,Positive
166,PUPR Akan Bangun Hunian Sementara bagi Warga Petobo dan Balaroa Palu,0.34,0.42000000000000004,Positive
167,Hunian sementara akan dibangun karena proses relokasi rumah butuh waktu lama.,0.34,0.42000000000000004,Positive
168,Kontraktor Penggarap Tol Semarang-Demak Diumumkan Bulan Depan,0.34,0.42000000000000004,Positive
169,Saat ini proses pre qualification Tol Semarang-Demak masih berlangsung.,0.34,0.42000000000000004,Positive
170,Tol Pejagan-Pemalang dan Ciawi-Sukabumi Ditarget Beroperasi Bulan Ini,0.34,0.42000000000000004,Positive
171,Progres pengerjaan dua ruas tol itu sudah hampir mencapai 100 persen.,0.34,0.42000000000000004,Positive
172,"Hingga Akhir 2018, Jokowi Akan Resmikan Tol Sepanjang 474 Km",0.34,0.42000000000000004,Positive
173,Kementerian PUPR Latih Warga Lombok Agar Bisa Bangun Rumah Tahan Gempa,0.34,0.42000000000000004,Positive
174,"Menteri PUPR: Petobo dan Balaroa Tak Bisa Dipakai Lagi, Harus Relokasi",0.34,0.42000000000000004,Positive
175,Belum ditentukan wilayah relokasi untuk Petobo dan Balaroa.,0.34,0.42000000000000004,Positive
176,"Tahun Depan, PUPR Terapkan Aspal Campur Plastik di 4 Daerah",0.34,0.42000000000000004,Positive
177,"4 daerah tersebut adalah Karawang, Jambi, Sumatera Selatan, dan Sumatera Utara.",0.34,0.42000000000000004,Positive
178,5 Langkah Kementerian PUPR Pulihkan Palu dan Donggala,0.34,0.42000000000000004,Positive
179,Asosiasi Kontraktor Siap Bantu Bangun Rumah Tahan Gempa di Sulteng,0.34,0.42000000000000004,Positive
180,"Setelah Buka Akses ke Palu, PUPR Akan Perbaiki Jembatan Kuning",0.34,0.42000000000000004,Positive
181,Sebelumnya WIKA juga sukses membangun jalan di Aljazair sepanjang 200 kilometer.,0.34,0.42000000000000004,Positive
182,Kementerian PUPR Kirim Alat Berat dan Peralatan Air Bersih ke Sulteng,0.34,0.42000000000000004,Positive
183,Langkah Kementerian PUPR dalam membantu penanganan tanggap darurat bencana gempa,0.34,0.42000000000000004,Positive
184,Kementerian PUPR Targetkan Bendung Karet KBB Rampung Januari 2019,0.34,0.42000000000000004,Positive
185,Kementerian PUPR membangun bendung karet KBB untuk atasi banjir di Semarang,0.34,0.42000000000000004,Positive
186,4 Fokus Kementerian PUPR Bantu Korban Gempa di Sulteng,0.34,0.42000000000000004,Positive
187,"Kontraktor Diminta Kirim Alat Berat ke Palu, Dibayar Pemerintah",0.34,0.42000000000000004,Positive
188,"Diangkut Hercules, 20 Unit Ekskavator Pindad Akan Dikirim ke Palu",0.34,0.42000000000000004,Positive
189,"Hingga Akhir September 2018, Penyaluran KPR FLPP Baru 40,9 Persen",0.34,0.42000000000000004,Positive
190,PUPR Kaji Pembangunan Rumah Tahan Gempa di Sulteng,0.34,0.42000000000000004,Positive
191,PUPR Pastikan Jalur Logistik ke Palu dan Donggala Sudah Bisa Dilewati,0.34,0.42000000000000004,Positive
192,Peringatan Hari Habitat Dunia 2018 di Palu Dibatalkan,0.34,0.42000000000000004,Positive
193,"Tol Desari Diresmikan, Percepat Mobilitas dari Jakarta ke Depok",0.34,0.42000000000000004,Positive
194,"Tol Desari seksi I menghubungkan Jakarta dan Depok sepanjang 5,8 km",0.34,0.42000000000000004,Positive
195,Kementerian PUPR dan Bank BNI Selenggarakan Akad Kredit Massal,0.34,0.42000000000000004,Positive
196,Akad kredit massal merupakan upaya memenuhi target program satu juta rumah,0.34,0.42000000000000004,Positive
197,"Jokowi Resmikan Tol Depok-Antasari Seksi I 5,8 Km",0.34,0.42000000000000004,Positive
198,"Diresmikan Jokowi Sore Ini, Tol Depok-Antasari Seksi I Gratis Seminggu",0.34,0.42000000000000004,Positive
199,Indonesia dan Aljazair Tingkatkan Kerja Sama Pembangunan Infrastruktur,0.34,0.42000000000000004,Positive
200,Pertemuan antara Indonesia dan Aljazair menghasilkan penandatanganan MoU baru,0.34,0.42000000000000004,Positive
201,Jokowi Akan Resmikan Tol Depok-Antasari Seksi I Hari Ini,0.34,0.42000000000000004,Positive
202,"Mengenal Risha, Rumah Tahan Gempa Dibanderol Mulai Rp 27 Juta",0.34,0.42000000000000004,Positive
203,Kementerian PUPR: Hanya 11 Bank yang Salurkan KPR Bersubsidi,0.34,0.42000000000000004,Positive
204,Padahal bank pelaksana yang ditugaskan menyalurkan KPR Bersubsidi mencapai 40 bank.,0.34,0.42000000000000004,Positive
205,Kementerian PUPR Dorong Peningkatan Kerja Sama Indonesia - Spanyol,0.34,0.42000000000000004,Positive
206,Kerja sama Indonesia dan Spanyol sudah terjalin sejak tahun 1999,0.34,0.42000000000000004,Positive
207,Kementerian PUPR Targetkan Peningkatan Pembangunan Jalan di Perbatasan,0.34,0.42000000000000004,Positive
208,"Saat ini, sebanyak 200 pekerja informal diajukan untuk bisa kredit rumah.",0.34,0.42000000000000004,Positive
209,"Tol JORR Jauh Dekat Rp 15.000, Bintaro-Bintaro Viaduct Tetap Rp 3.000",0.34,0.42000000000000004,Positive
210,Kementerian PUPR Buka Seleksi Terbuka Empat Jabatan Tinggi Madya,0.34,0.42000000000000004,Positive
211,"Hingga September 2018, Realisasi Program Sejuta Rumah Capai 68 Persen",0.34,0.42000000000000004,Positive
212,"Bangun Kembali 1.266 Fasilitas Publik di Lombok, PUPR Gandeng 8 BUMN",0.34,0.42000000000000004,Positive
213,200 Sopir Ojek hingga PKL Sedang Diproses untuk Terima Kredit Rumah,0.34,0.42000000000000004,Positive
214,PUPR Akan Cabut Izin Bank Penyalur KPR FLPP yang Kinerjanya Buruk,0.34,0.42000000000000004,Positive
215,"Usai Asian Para Games, Wisma Atlet Kemayoran Disewakan ke Masyarakat",0.34,0.42000000000000004,Positive
216,"Infrastruktur Asian Games Dipuji, PUPR Beri Penghargaan ke Kontraktor",0.34,0.42000000000000004,Positive
217,Perbaikan 1.266 Fasilitas Publik Pascagempa Lombok Selesai Akhir 2019,0.34,0.42000000000000004,Positive
218,"Progres Konstruksi Tol Balikpapan-Samarinda Tak Sesuai Target, Kenapa?",0.34,0.42000000000000004,Positive
219,Pembangunan Tol Balikpapan-Samarinda ditargetkan dapat selesai pada Januari 2019.,0.34,0.42000000000000004,Positive
220,Konstruksi Tol Balikpapan-Samarinda Ditargetkan Selesai Januari 2019,0.34,0.42000000000000004,Positive
221,Pembangunan Jalan Perbatasan Kalimantan-Malaysia Telan Rp 24 Triliun,0.34,0.42000000000000004,Positive
222,"Tahun Depan, Kalimantan Timur Akan Punya Jembatan di Atas Laut",0.34,0.42000000000000004,Positive
223,Jalan Perbatasan Kalimantan Dibangun agar Ekonomi Rakyat Bergerak,0.34,0.42000000000000004,Positive
224,"Proyek Jalan Perbatasan RI-Malaysia di Kalimantan Masih Perlu Rp 1,1 T",0.34,0.42000000000000004,Positive
225,Cerita Warga Perbatasan RI Kesulitan Beli Kebutuhan Pokok,0.34,0.42000000000000004,Positive
226,PUPR Belah Ratusan Bukit untuk Bangun Jalan Perbatasan RI - Malaysia,0.34,0.42000000000000004,Positive
227,Jalan Perbatasan di Kalimantan Bisa Difungsikan Tahun Depan,0.34,0.42000000000000004,Positive
228,Kementerian PUPR Mulai Rehabilitasi dan Rekonstruksi Fasilitas di NTB,0.34,0.42000000000000004,Positive
229,Rehabilitasi dan rekonstruksi fasilitas-fasilitas penting publik ditargetkan bisa selesai Desember 2018.,0.34,0.42000000000000004,Positive
230,"Penyaluran KPR Subsidi Masih Rendah, Bank Akan Dievaluasi",0.34,0.42000000000000004,Positive
231,Insinyur Muda Bantu Korban Gempa Lombok Bangun Lagi Rumah yang Rusak,0.34,0.42000000000000004,Positive
232,"Pemerintah Usulkan Rp 529,6 M untuk Renovasi Fasilitas Umum di Lombok",0.34,0.42000000000000004,Positive
233,"Dana tambahan yang diusulkan pada tahun 2018 sebesar Rp 529,6 miliar.",0.34,0.42000000000000004,Positive
234,PUPR Bangun Rumah Tahan Gempa dari Sisa Reruntuhan Bangunan di Lombok,0.34,0.42000000000000004,Positive
235,"PUPR bangun rumah tersebut bertipe instan, sederhana dan sehat.",0.34,0.42000000000000004,Positive
236,400 Insinyur Kementerian PUPR Akan Perbaiki 78 Ribu Rumah di Lombok,0.34,0.42000000000000004,Positive
237,Insinyur yang dikirim ke Lombok merupakan CPNS Kementerian PUPR.,0.34,0.42000000000000004,Positive
238,Kementerian PUPR Kirim 400 CPNS untuk Pulihkan Kondisi Lombok,0.34,0.42000000000000004,Positive
239,400 orang tersebut ditargetkan bisa memulihkan kondisi Lombok dalam 1 tahun.,0.34,0.42000000000000004,Positive
240,AIIB Tawarkan Pinjaman USD 1 Miliar untuk Danai Proyek Infrastruktur,0.34,0.42000000000000004,Positive
241,"Tidak Ada Jembatan, Warga 2 Kecamatan di Sukabumi Gunakan Rakit",0.34,0.42000000000000004,Positive
242,Pemerintah Optimalkan Air Bersih dari Sumur untuk Korban Gempa Lombok,0.34,0.42000000000000004,Positive
243,Kementerian PUPR: 74 Ribu Rumah Warga Rusak Akibat Gempa Lombok,0.34,0.42000000000000004,Positive
244,"Jumlah tersebut merupakan pendataan awal, artinya masih sangat mungkin jumlahnya bertambah.",0.34,0.42000000000000004,Positive
