,date,media,newstitle
101,"[<div class=""article__date"">05/11/2018, 17:30 WIB</div>]",Kompascom,"Jembatan Cipatujah Putus, Diganti Sementara dengan Jembatan Bailey"
102,"[<div class=""article__date"">05/11/2018, 16:53 WIB</div>]",Kompascom,Kementerian PUPR Genjot Pembebasan Lahan Akses Patimban
103,"[<div class=""article__date"">05/11/2018, 11:09 WIB</div>]",Kompascom,"Dari PSN hingga Larangan Berpolitik, Ini PR Kementerian PUPR 2019"
104,"[<div class=""article__date"">05/11/2018, 10:06 WIB</div>]",Kompascom,"Jelang 2019, Serapan Anggaran Kementerian PUPR Baru 63 Persen"
106,"[<div class=""article__date"">30/10/2018, 11:17 WIB</div>]",Kompascom,"Kasus Bupati Cirebon, KPK Panggil Sekda hingga Kepala Dinas PUPR"
107,"[<div class=""article__date"">30/10/2018, 09:46 WIB</div>]",Kompascom,"Dapat Rp 110,7 Triliun, Ini Rincian Pengeluaran Kementerian PUPR"
108,"[<div class=""article__date"">26/10/2018, 13:26 WIB</div>]",Kompascom,"Tahun Depan Kementerian PUPR Dapat Anggaran Rp 110,7 Triliun"
109,"[<div class=""article__date"">19/10/2018, 15:52 WIB</div>]",Kompascom,Kementerian PUPR Bangun Bendungan Sei Gong Untuk Menimalisir Krisis Air Baku di Batam
110,"[<div class=""article__date"">18/10/2018, 18:03 WIB</div>]",Kompascom,Kementerian PUPR Siap Tayangkan Dokumentasi “Sanitasi Untuk Negeri”
111,"[<div class=""article__date"">16/10/2018, 13:00 WIB</div>]",Kompascom,Basuki: Kerja di Kementerian PUPR Ini Dekat dengan Surga dan Neraka
112,"[<div class=""article__date"">15/10/2018, 16:55 WIB</div>]",Kompascom,"741 Aset Rp 1,8 Triliun Diserahkan ke Daerah"
113,"[<div class=""article__date"">15/10/2018, 13:42 WIB</div>]",Kompascom,Tanggapan Basuki soal Kasus Suap Meikarta yang Menyeret Kadis PUPR
114,"[<div class=""article__date"">13/10/2018, 20:38 WIB</div>]",Kompascom,Bupati Bekasi Akui Pelayanan Dinas PUPR Terganggu Setelah Disegel KPK
115,"[<div class=""article__date"">12/10/2018, 17:35 WIB</div>]",Kompascom,Ruang Kadis PUPR Pemkab Bekasi Disegel Pasca-OTT KPK
116,"[<div class=""article__date"">11/10/2018, 22:00 WIB</div>]",Kompascom,"Bantu Perbaiki Sulteng, Jepang Bertemu Kementerian PUPR"
117,"[<div class=""article__date"">11/10/2018, 21:00 WIB</div>]",Kompascom,"Risha dan Rika, Kokoh Berdiri Meski Diguncang Gempa"
118,"[<div class=""article__date"">10/10/2018, 09:00 WIB</div>]",Kompascom,Kementerian PUPR Dukung 10 KSPN Melalui Infrastruktur
119,"[<div class=""article__date"">09/10/2018, 11:14 WIB</div>]",Kompascom,Progres Risha di Solo Sudah 60  Persen
120,"[<div class=""article__date"">03/10/2018, 21:29 WIB</div>]",Kompascom,Ruas Mengwitani-Singaraja Pangkas Waktu Tempuh Jadi 2 Menit
121,"[<div class=""article__date"">03/10/2018, 14:59 WIB</div>]",Kompascom,Sejumlah Proyek Infrastruktur Kementerian PUPR Didukung KPBU-AP
122,"[<div class=""article__date"">03/10/2018, 11:40 WIB</div>]",Kompascom,Kementerian PUPR Sebut Naturalisasi Tak Bisa Direalisasikan di Seluruh Sungai Jakarta
123,"[<div class=""article__date"">02/10/2018, 21:35 WIB</div>]",Kompascom,Kisah Menteri Basuki Minta Warung Kelontong Dibuka bagi Korban Gempa Balaroa
124,"[<div class=""article__date"">02/10/2018, 21:05 WIB</div>]",Kompascom,"Tingkatkan Kualitas Pekerja Konstruksi, Kementerian PUPR Gelar Sertifikasi"
125,"[<div class=""article__date"">02/10/2018, 20:35 WIB</div>]",Kompascom,"Tahan Gempa, Rumah Subsidi di Palu Ini Terjangkau bagi MBR"
126,"[<div class=""article__date"">02/10/2018, 19:50 WIB</div>]",Kompascom,Rekonstruksi Kota Terdampak Gempa Akan Dikerjakan Pemerintah
127,"[<div class=""article__date"">02/10/2018, 15:32 WIB</div>]",Kompascom,Kementerian PUPR Fokus Sediakan Air Bersih dan Sanitasi di Palu
128,"[<div class=""article__date"">02/10/2018, 14:30 WIB</div>]",Kompascom,"Dianggap Kalah Bersaing, 30 Kontraktor Asing Gulung Tikar"
129,"[<div class=""article__date"">02/10/2018, 13:10 WIB</div>]",Kompascom,Kementerian PUPR: Sekitar 1.300 KK Masih Tertimbun di Perumnas Balaroa
130,"[<div class=""article__date"">01/10/2018, 21:05 WIB</div>]",Kompascom,"Hilangkan Trauma, Pemerintah Segera Bersihkan Puing-puing di Kota Palu"
131,"[<div class=""article__date"">01/10/2018, 20:28 WIB</div>]",Kompascom,"Bersihkan Puing di Palu, Pemerintah Pinjam Alat Berat Kontraktor"
132,"[<div class=""article__date"">01/10/2018, 19:55 WIB</div>]",Kompascom,"Data Sementara, 2.790 Rumah Rusak akibat Gempa Palu"
133,"[<div class=""article__date"">01/10/2018, 16:03 WIB</div>]",Kompascom,Tiga Ekskavator Sudah Diturunkan di Perumnas Balaroa
134,"[<div class=""article__date"">01/10/2018, 14:12 WIB</div>]",Kompascom,Menteri PUPR Cek Tiga Lokasi yang Terkena Dampak Gempa di Palu
135,"[<div class=""article__date"">30/09/2018, 14:28 WIB</div>]",Kompascom,"Hadiah Natal untuk Warga, Jembatan Gantung Segera Hadir di Kupang"
136,"[<div class=""article__date"">30/09/2018, 14:22 WIB</div>]",Kompascom,REI Klaim Proyek Perumahan Anggotanya di Palu Aman dari Gempa
137,"[<div class=""article__date"">30/09/2018, 12:58 WIB</div>]",Kompascom,"Tangani Gempa Palu, Kementerian PUPR Koordinasi dengan Sejumlah Pihak"
138,"[<div class=""article__date"">29/09/2018, 22:56 WIB</div>]",Kompascom,Kementerian PUPR Terjunkan Alat Berat dan Tim Reaksi Cepat ke Palu
139,"[<div class=""article__date"">29/09/2018, 22:30 WIB</div>]",Kompascom,Pemerintah Pastikan Tiga Jalur Lintas di Sulawesi Tengah Bisa Dilewati
140,"[<div class=""article__date"">29/09/2018, 21:00 WIB</div>]",Kompascom,Menteri PUPR Janji Jalan Layang Bandara Ahmad Yani Terwujud 2019
141,"[<div class=""article__date"">29/09/2018, 20:00 WIB</div>]",Kompascom,Kementerian PUPR Batalkan Peringatan Hari Habitat Dunia di Palu
142,"[<div class=""article__date"">29/09/2018, 13:30 WIB</div>]",Kompascom,"Minggu Sambangi Lokasi Gempa, Basuki: Ini Tanggung Jawab Saya"
143,"[<div class=""article__date"">29/09/2018, 06:00 WIB</div>]",Kompascom,Jalur Trans-Sulawesi Arah Utara Longsor
144,"[<div class=""article__date"">27/09/2018, 12:14 WIB</div>]",Kompascom,Menteri PUPR Segera Rehabilitasi Fasum yang Rusak Akibat Gempa Sulteng
145,"[<div class=""article__date"">24/09/2018, 12:28 WIB</div>]",Kompascom,Kementerian PUPR Terjunkan Tim Tanggap Darurat ke Palu dan Donggala
146,"[<div class=""article__date"">19/09/2018, 10:00 WIB</div>]",Kompascom,"Saksi: Satu Tahun Anggaran, Zumi Zola Bisa Dapat Rp 60 Miliar dari Dinas PUPR"
147,"[<div class=""article__date"">17/09/2018, 17:00 WIB</div>]",Kompascom,"Bilang Tak Punya Uang, Kepala Dinas PUPR Jambi Merasa Ditekan Anggota DPRD"
