,media,Title,Desc,titledesc,sentiment
173,JakartaPost,"PLN eyes 18,485 MW power purchasing agreement this year","State electricity company (PLN) will focus on chasing a 18,485-megawatt (MW) power purchasing agreem...","PLN eyes 18,485 MW power purchasing agreement this year State electricity company (PLN) will focus on chasing a 18,485-megawatt (MW) power purchasing agreem...","Sentiment(polarity=0.0, subjectivity=0.0)"
174,JakartaPost,Indonesian telco operator says network sharing reduce 40% investment cost,A leading Indonesia telecommunication operator has claimed that if network sharing was allowed by th...,Indonesian telco operator says network sharing to reduce 40% investment cost A leading Indonesia telecommunication operator has claimed that if network sharing was allowed by th...,"Sentiment(polarity=0.0, subjectivity=0.0)"
175,JakartaPost,Resolving Indonesia  infrastructure problems,The development of basic infrastructure facilities has become one of the government’s top prio...,Resolving Indonesia's infrastructure problems The development of basic infrastructure facilities has become one of the government’s top prio...,"Sentiment(polarity=0.0, subjectivity=0.0)"
176,JakartaPost,Jakarta wants its share tax amnesty inflows,Jakarta Governor Basuki “Ahok” Tjahaja Purnama has expressed the city’s wish to sh...,Jakarta wants its share of tax amnesty inflows Jakarta Governor Basuki “Ahok” Tjahaja Purnama has expressed the city’s wish to sh...,"Sentiment(polarity=0.2, subjectivity=0.1)"
177,JakartaPost,Redefining Indonesia  urban agenda Get real,"Potentially the world’s fifth-largest economy in the next two decades, Indonesia’s role ...","Redefining Indonesia's urban agenda: Get real Potentially the world’s fifth-largest economy in the next two decades, Indonesia’s role ...","Sentiment(polarity=0.1, subjectivity=0.15000000000000002)"
178,JakartaPost,Reimagining Jakarta A more compact life,"Yet rebuilding Jakarta is not just a matter of technical engineering skills, or even policy commitme...","Reimagining Jakarta: A more compact life Yet rebuilding Jakarta is not just a matter of technical engineering skills, or even policy commitme...","Sentiment(polarity=0.5, subjectivity=0.5)"
179,JakartaPost,Wijaya Karya Beton establish new plant worth Rp 250 billion,"Precast concrete maker PT Wijaya Karya Beton plans to build a new plant in Subang, West Java, with a...","Wijaya Karya Beton to establish new plant worth Rp 250 billion Precast concrete maker PT Wijaya Karya Beton plans to build a new plant in Subang, West Java, with a...","Sentiment(polarity=0.21818181818181817, subjectivity=0.2772727272727273)"
180,JakartaPost,Private sector should participate more infrastructure projects Jokowi,"Indonesia will encourage the private sector to participate in infrastructure projects, President Jok...","Private sector should participate more in infrastructure projects: Jokowi Indonesia will encourage the private sector to participate in infrastructure projects, President Jok...","Sentiment(polarity=0.25, subjectivity=0.4375)"
181,JakartaPost,Adopting ICT Painfully slow at govt offices,ICT infrastructure in Indonesia has somewhat improved and the government has also shown strong commi...,Adopting ICT: Painfully slow at govt offices ICT infrastructure in Indonesia has somewhat improved and the government has also shown strong commi...,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)"
182,JakartaPost,IIF reduces bonds issuance Rp 1.5 trillion,"PT Indonesia Infrastructure Finance (IIF), a private non-bank financial institution under the Financ...","IIF reduces bonds issuance to Rp 1.5 trillion PT Indonesia Infrastructure Finance (IIF), a private non-bank financial institution under the Financ...","Sentiment(polarity=0.0, subjectivity=0.0)"
