;sentence;polarity;Subjectivity;Sentiment_Type
236;Tanggul Pantai untuk Cegah Banjir Rob Jakarta Rampung 2020;0.34;0.42000000000000004;Positive
237;Soal Air Laut Akan Sampai HI, Anies Mengaku Siapkan Program;0.34;0.42000000000000004;Positive
238;Jakarta Bisa Tenggelam, Menteri PUPR Dorong Bangun Tanggul;0.34;0.42000000000000004;Positive
239;Nias Ditunjuk Sebagai Tuan Rumah Sail Indonesia 2019;0.34;0.42000000000000004;Positive
240;Sepuluh Jenis Kayu dan Tukang Tuo demi Perbaikan Rumah Gadang;0.34;0.42000000000000004;Positive
241;Kasus Suap Meikarta, KPK Panggil Wakil Bupati Bekasi;0.34;0.42000000000000004;Positive
242;Pemerintah Rampungkan Pembangunan Bendungan Mila di Sumbawa;0.34;0.42000000000000004;Positive
243;KPK Sita Rp55 Juta dari Kantor Bupati Pakpak Bharat;0.34;0.42000000000000004;Positive
244;PUPR dengan Belanda Evaluasi Pembangunan Tanggul Raksasa;0.34;0.42000000000000004;Positive
245;Kondisi Keuangan 99 PDAM Tak Sehat;0.34;0.42000000000000004;Positive
246;PII Jamin 17 Proyek Senilai Total Rp36 Triliun;0.34;0.42000000000000004;Positive
247;Jokowi Tak Intervensi Kasus Korupsi Bupati Pakpak Bharat;0.34;0.42000000000000004;Positive
248;Sekda Pakpak Bharat Ditunjuk Gantikan Posisi Bupati Remigo;0.34;0.42000000000000004;Positive
249;Demokrat Pecat Remigo Usai Jadi Tersangka Suap;0.34;0.42000000000000004;Positive
250;KPK Usut Dugaan Uang Bupati Pakpak Bharat ke Polda Sumut;0.34;0.42000000000000004;Positive
251;Polda Sumut Sudah Hentikan Kasus Istri Bupati Pakpak Bharat;0.34;0.42000000000000004;Positive
252;Bupati Pakpak Bharat, Kepala Daerah ke-104 yang 'Digarap' KPK;0.34;0.42000000000000004;Positive
253;Bupati Remigo Diduga Pakai Uang Suap buat Amankan Kasus Istri;0.34;0.42000000000000004;Positive
254;Kronologi OTT Bupati Pakpak Bharat;0.34;0.42000000000000004;Positive
255;Bupati Pakpak Bharat Tersangka Suap Proyek Dinas PUPR;0.34;0.42000000000000004;Positive
256;Warga Korban Gempa Lombok Keluhkan Bantuan Mandek;0.34;0.42000000000000004;Positive
257;Jokowi Bandingkan Monumen Kapsul Waktu dengan Markas Avengers;0.34;0.42000000000000004;Positive
258;Kasus Meikarta, KPK Periksa Direktur Lippo Cikarang;0.34;0.42000000000000004;Positive
259;KPK Titipkan Bupati Nonaktif Labuhanbatu ke Rutan Medan;0.34;0.42000000000000004;Positive
260;JK Minta Rekonstruksi Palu Pascagempa Dimulai Januari 2019;0.34;0.42000000000000004;Positive
261;KPK Duga Sejumlah Dokumen Izin Proyek Meikarta 'Backdate';0.34;0.42000000000000004;Positive
262;Transaksi Uang Elektronik Naik Empat Kali Lipat Jadi Rp31,6 T;0.34;0.42000000000000004;Positive
263;Bangun Hunian Sementara di Palu, PUPR Akui Kekurangan Lahan;0.34;0.42000000000000004;Positive
